name,phoneNumber,vip
john,123456789,true
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,false
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
john,123456789,true
